City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
650,Del Rio,US,75.31,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
651,Meulaboh,ID,76.53,4.1363,96.1285,Kost Pria
654,Alta Floresta,BR,82.22,-9.8756,-56.0861,Floresta Amazonica Hotel
655,Coolum Beach,AU,72.34,-26.5333,153.1,Palmer Coolum Resort
657,Antalaha,MG,75.72,-14.9003,50.2788,Hotel Vitasoa
660,Sumbe,AO,76.91,-11.2061,13.8437,Hotel Ritz Sumbe
661,Huarmey,PE,74.37,-10.0681,-78.1522,Hotel Miramar
663,Houma,US,84.2,29.5958,-90.7195,Courtyard by Marriott Houma
664,Trelew,AR,81.68,-43.249,-65.3051,Hotel Touring Club
665,Saint-Pierre,RE,74.84,-21.3393,55.4781,Lindsey Hôtel
667,Hobyo,SO,79.21,5.3505,48.5268,Halane Hotel and Restaurent
669,Kattivakkam,IN,78.89,13.2167,80.3167,Euronova Freezer
670,Cap Malheureux,MU,77.49,-19.9842,57.6142,Pereybere Hotel & Spa
673,Makakilo City,US,72.28,21.3469,-158.0858,Marriott's Ko Olina Beach Club
